Model,File Name,n,reference,Units,type,quality.rating,set,select,bgcpaper,tmp,enaR,in.Ulanowicz,in.50set
''Illinois Wetland P (Site 4)'',''Illinois_wetland_4_P.dat'',7,''\citet{wang00}'',''g P m$^{-2}$  yr$^{-1}$'',BGC,,,1,0,1,0,,
''Kromme Estuary'',''Kromme_estuary_25n.dat'',25,''\citet{scharler05}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,2,1,1,1,1,0,0
''Lake Findley '',''lake_findley.dat'',4,'' \citet{richey78}'',''gC m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Lake Lanier (P) Averaged'',''avgLanier.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,1,1,1,0,
''Lake Lanier 1'',''lanier_1.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 10'',''lanier_10.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 11'',''lanier_11.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 12'',''lanier_12.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 13'',''lanier_13.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 14'',''lanier_14.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 15'',''lanier_15.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 16'',''lanier_16.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 17'',''lanier_17.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 18'',''lanier_18.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 19'',''lanier_19.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 2'',''lanier_2.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 20'',''lanier_20.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 21'',''lanier_21.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 22'',''lanier_22.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 23'',''lanier23_.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 24'',''lanier_24.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 25'',''lanier_25.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 26'',''lanier_26.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 27'',''lanier_27.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 28'',''lanier_28.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 29'',''lanier_29.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 3'',''lanier_3.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 30'',''lanier_30.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 31'',''lanier_31.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 32'',''lanier_32.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 33'',''lanier_33.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 34'',''lanier_34.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 35'',''lanier_35.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 4'',''lanier_4.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 5'',''lanier_5.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 6'',''lanier_6.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 7'',''lanier_7.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 8'',''lanier_8.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Lanier 9'',''lanier_9.dat'',11,''\citet{borrett07_lanier}'',''mg P m$^{-2}$ day$^{-1}$'',BGC,,,1,0,,0,,
''Lake Michigan'',''lake_michigan.dat'',36,''\citet{krause}'',,TRO,,,,0,1,0,0,0
